topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
125,Mid-flight Makeout,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.23777777777777778,0.004524930327344169,0.004216605232194023,1.0
126,Sardonic Glances During Argument,89,33,Alexa_Riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,0.22,0.0017844484128514287,0.001663893415574224,0.967391304347826
127,Emotional Panic Attacks,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.12,0.002053354954638698,0.0019876038999087995,0.9891304347826086
128,Easy Conversations,63,30,Stella_Rhys,3,0.047619047619047616,0.09523809523809523,False,0.0,low,0.05333333333333334,0.0012229288724735464,0.0011882248765053486,0.6847826086956522
129,Condom Check Before Sex,26,15,Jessica_Clare,3,0.11538461538461539,0.23076923076923078,False,0.0,low,0.12,0.0006888552814516655,0.0007223570075718475,0.2826086956521739
131,Honest Emotional Conversation,5,2,Catharina_Maura,3,0.6,1.0,True,0.6666666666666666,high,0.16444444444444445,0.0004201457365950263,0.0003647832990632441,0.05434782608695652
133,Breast And Nipple Play,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.21944444444444444,0.00413813863334751,0.003736798209659424,0.9945652173913043
135,Sunset Beach Walk,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.006666666666666667,0.00199283074654015,0.0019609141584078157,1.0
136,Excited Diversion,74,32,Alexa_Riley,3,0.04054054054054054,0.08108108108108109,False,0.0,low,0.4866666666666667,0.0015472345352483905,0.0011976814435126705,0.8043478260869565
137,Generous Offspring Circumstances,90,33,Tia_Louise,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.03333333333333333,0.0030115662045092743,0.0032301857592750213,0.9782608695652174
138,Archery Practice,3,1,LJ_Shen,3,1.0,1.0,True,0.6666666666666666,high,0.35333333333333333,0.00044457164081929834,0.0003988328885348011,0.03260869565217391
139,Awkward Questions At Door,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.32222222222222224,0.0036196010975987573,0.005878543096357776,1.0
142,Kitchen Conversation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.32222222222222224,0.002623105446210905,0.0022036531972072816,1.0
143,Casual Conversations,64,29,Alexa_Riley,3,0.046875,0.09375,False,0.0,low,0.09,0.0009521395884819193,0.0009566775979241162,0.3967391304347826
144,Dates And Calendar Confusion,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.15333333333333332,0.0022941677000225093,0.002497031236006772,1.0
145,Knowing Glance Conversation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.13777777777777778,0.0031460498778624613,0.003418665437723346,1.0
